chunk_id,text,wiki_id,chunk_length,repair_type,contains_warning
iPhone_1st_Generation_Battery_Replacement_0,"# iPhone 1st Generation Battery Replacement
Battery not lasting long? Swap it out (requires soldering).


###Tools Required:

 - Probe and Pick Set

 - Desoldering Braid

 - SIM Card Eject Tool

 - Metal Spudger

 - Phillips #00 Screwdriver

 - iFixit Opening Tool

 - Lead-Free Solder

 - Soldering Iron

 - Spudger


###Parts Required:

 - iPhone 2G Replacement Battery


## Step 1
Insert a SIM card eject tool or paper clip into the hole next to the headphone jack.
Press down on the paper clip until the SIM card tray pops out.


## Step 2
Grasp the SIM card tray and slide it out of the iPhone.


## Step 1
This image shows the two tabs and two catches located on the underside of the antenna cover. The two tabs at the top of the image must be pushed towards the black cover to release them.


## Step 2
Be sure to slide the metal spudger between the dock connector and the antenna cover, and not into the dock connector itself.
Insert a metal spudger into the slot between the dock connector and the antenna cover. Gently pry up near the two tabs to create a small gap between the antenna cover and the silver front bezel.",iPhone_1st_Generation_Battery_Replacement,259,battery,False
iPhone_16_Pro_Max_Earpiece_Speaker_Replacement_1,"## Tape over any cracks
If your screen or back glass is badly cracked, lay overlapping strips of packing tape over the glass to protect yourself and make disassembly easier.
Make sure there's a smooth area near the bottom edge that's big enough for a suction cup to stick to.


## Remove the pentalobe screws
Use a P2 pentalobe driver to remove the two 7.4 mm-long screws on either side of the charge port.


## Mark your opening picks
If inserted too far, an opening pick can damage your device. Follow this step to mark your pick and prevent damage.
Measure 3 mm from the tip and mark the opening pick with a permanent marker.
You can also mark the other corners of the pick with different measurements.
Alternatively, [link|https://guide-images.cdn.ifixit.com/igi/pQGATIGUbViSB4gB.full|tape a coin to a pick|new_window=true] 3 mm from the tip.",iPhone_16_Pro_Max_Earpiece_Speaker_Replacement,218,port,False
How_to_replace_the_battery_in_your_iPhone_5s_2,"## Removing the Pentalobe screws
Before you proceed, discharge your iPhone battery below 25%. A charged lithium-ion battery can catch fire and/or explode if accidentally punctured.
Power off your iPhone before beginning disassembly.
Remove the two 3.9 mm Pentalobe screws from either side of Lightning connector.


## Taping the display glass
If your display glass is cracked, keep further breakage contained and prevent bodily harm during your repair by taping the glass.
Lay overlapping strips of clear packing tape over the iPhone's display until the whole face is covered.
This will keep glass shards contained and provide structural integrity when prying and lifting the display.
Wear safety glasses to protect your eyes from any glass shaken free during the repair.",How_to_replace_the_battery_in_your_iPhone_5s,159,port,True
iPhone_13_Battery_Replacement_5,"## Step 4
Support your iPhone on something sturdy such as a hardcover book so it rests hands-free and parallel to the ground; this makes it easier to work with in the following steps.
Use a hair dryer to heat along the bottom edge of the iPhone. The screen should feel slightly too hot to touch.
For complete instructions on how to use a hair dryer, [link|https://www.ifixit.com/Guide/How+to+Use+a+Hair+Dryer+to+Soften+Adhesive/157348|new_window=true|check out this guide].
Wait one minute to give the adhesive a chance to release and present an opening gap.
Insert an opening pick under the screen's plastic bezel when the Anti-Clamp creates a large enough gap.
If the Anti-Clamp doesn't create a sufficient gap, apply more heat to the area and rotate the handle a quarter turn.
Don't crank more than a quarter turn at a time, and wait one minute between turns. Let the Anti-Clamp and time do the work for you.
***Skip the next three steps.***",iPhone_13_Battery_Replacement,248,port,True
iPhone_5s_Logic_Board_Replacement_6,"## Step 10
During reassembly, you will need to reinstall the Touch ID cable bracket. The top of the bracket needs to slide between the battery and Touch ID cable connector, in front of the metal tab. The bottom must latch down over the connector.
Slide the top of the bracket over the Touch ID cable connector from left to right.
Alternatively, lay the bracket directly over the connector. The edge with the ""leg"" will prop the bracket up at a slight angle, and the opposite edge must be between the cable connector and the metal tab near the battery. With the edge of a spudger flat against the bracket, apply gentle downward pressure to snap in the back and front clasps.


## Step 11
During reassembly, use the flat end of a spudger to snap the front portion of the Touch ID cable bracket down over the cable connector.
If the bracket does not snap down flush, you may need to remove the bracket and slide it over the cable connector again for a better fit.


## Disconnecting the home button cable connector
Use the tip of a spudger to pry the home button cable connector up out of its socket.
Be sure you're separating the cable connector from its socket, and not prying the entire socket up. The socket is on its own glued-down cable that can be pried up if you aren't careful.",iPhone_5s_Logic_Board_Replacement,288,port,True
iPhone_15_Plus_Back_Glass_Replacement_1,"## Tape over any cracks
If your screen or back glass is badly cracked, lay overlapping strips of packing tape over the glass to protect yourself and make disassembly easier.
Make sure there's a smooth area near the bottom edge that's big enough for a suction cup to stick to.


## Mark your opening picks
If inserted too far, an opening pick can damage your device. Follow this step to mark your pick and prevent damage.
Measure 3 mm from the tip and mark the opening pick with a permanent marker.
You can also mark the other corners of the pick with different measurements.
Alternatively, [link|https://guide-images.cdn.ifixit.com/igi/pQGATIGUbViSB4gB.full|tape a coin to a pick|new_window=true] 3 mm from the tip.


## Remove the pentalobe screws
Use a P2 pentalobe driver to remove the two 7.7 mm-long screws on either side of the charging port.",iPhone_15_Plus_Back_Glass_Replacement,218,port,False
iPhone_5s_Screen_Replacement_6,"## Step 10
During reassembly, you will need to reinstall the Touch ID cable bracket. The top of the bracket needs to slide between the battery and Touch ID cable connector, in front of the metal tab. The bottom must latch down over the connector.
Slide the top of the bracket over the Touch ID cable connector from left to right.
Alternatively, lay the bracket directly over the connector. The edge with the ""leg"" will prop the bracket up at a slight angle, and the opposite edge must be between the cable connector and the metal tab near the battery. With the edge of a spudger flat against the bracket, apply gentle downward pressure to snap in the back and front clasps.


## Step 11
During reassembly, use the flat end of a spudger to snap the front portion of the Touch ID cable bracket down over the cable connector.
If the bracket does not snap down flush, you may need to remove the bracket and slide it over the cable connector again for a better fit.


## Disconnecting the home button cable connector
Use the tip of a spudger to pry the home button cable connector up out of its socket.
Be sure you're separating the cable connector from its socket, and not prying the entire socket up. The socket is on its own glued-down cable that can be pried up if you aren't careful.",iPhone_5s_Screen_Replacement,288,port,True
iPhone_15_Pro_Screen_Replacement_1,"## Prepare your iPhone for disassembly
Let your phone's battery drain below 25% before starting this repair—a charged lithium‑ion battery may catch fire if damaged.
Unplug all cables from your phone.
Hold the power and either volume button and slide to power off your phone.


## Tape over any cracks
If your screen or back glass is cracked, lay overlapping strips of packing tape over the glass to protect yourself and make disassembly easier.
Make sure there's a smooth area near the bottom edge that's big enough for a suction cup to stick to.


## Mark your opening picks
If inserted too far, an opening pick can damage your device. Follow this step to mark your pick and prevent damage.
Measure 3 mm from the tip and mark the opening pick with a permanent marker.
You can also mark the other corners of the pick with different measurements.
Alternatively, [link|https://guide-images.cdn.ifixit.com/igi/pQGATIGUbViSB4gB.full|tape a coin to a pick|new_window=true] 3 mm from the tip.


## Remove the pentalobe screws
Use a P2 pentalobe screwdriver to remove the two 7 mm‑long screws on either side of the charging port.",iPhone_15_Pro_Screen_Replacement,279,port,True
iPhone_16_Plus_Front_Camera_Assembly_Replacement_1,"## Prepare your phone for disassembly
Allow your phone's battery to drain below 25%, as a charged lithium-ion battery is a potential safety hazard.
Unplug any cables from your phone.
Hold the power and either volume buttons and slide to power off your phone.


## Tape over any cracks
If your screen or back glass is badly cracked, lay overlapping strips of packing tape over the glass to protect yourself and make disassembly easier.
Make sure there's a smooth area near the bottom edge that's big enough for a suction cup to stick to.


## Mark your opening picks
If inserted too far, an opening pick can damage your device. Follow this step to mark your pick and prevent damage.
Measure 3 mm from the tip and mark the opening pick with a permanent marker.
You can also mark the other corners of the pick with different measurements.
Alternatively, [link|https://guide-images.cdn.ifixit.com/igi/pQGATIGUbViSB4gB.full|tape a coin to a pick|new_window=true] 3 mm from the tip.


## Remove the pentalobe screws
Use a P2 pentalobe driver to remove the two 7.7 mm-long screws on either side of the USB-C port.",iPhone_16_Plus_Front_Camera_Assembly_Replacement,280,port,True
iPhone_5s_Lightning_Connector_Replacement_0,"# iPhone 5s Lightning Connector Replacement
If you've tried [guide|164631|cleaning the lightning port|new_window=true] to no avail, use this guide to replace a nonfunctioning Lightning connector assembly, including headphone jack, cellular antenna, and microphone.

***You can also use this guide for reference when replacing the following parts:***

* Headphone Jack Interconnect Cable
* Microphone Gasket
The video below includes a few extra steps, including removal of the logic board. Follow the guide steps below it for the updated, shorter procedure.

[video|https://www.youtube.com/watch?v=BsRD9cq2U8A]


###Tools Required:

 - Clampy - Anti-Clamp

 - P2 Pentalobe Screwdriver iPhone

 - iFixit Opening Tool

 - Suction Handle

 - Spudger

 - Phillips #000 Screwdriver

 - Tweezers

 - B-7000 Adhesive


###Parts Required:

 - iPhone 5s Lightning Connector and Headphone Jack

 - iPhone 5s Headphone Jack Interconnect Cable

 - iPhone 5s Microphone Gasket",iPhone_5s_Lightning_Connector_Replacement,243,port,False
iPhone_7_Plus_Logic_Board_Replacement_13,"## Step 12
Use a thin pry tool or [product|IF145-020|tweezers] to carefully pry up and disconnect the two coaxial cable connectors from the logic board.
During reassembly, these can be tricky to reconnect. One at a time, hold each connector in place over its socket and press down with the flat of your spudger. The connector should snap into place.
The coaxial cable closest to the battery connector is responsible for the Wi-Fi Diversity Antenna. The other coaxial cable is for the secondary cell antenna. Make sure to reconnect them to the correct sockets.


## Step 13
Disconnect the two remaining ribbon cables from the logic board:
Disconnect the upper cable connector by prying from the top
Disconnect the Lightning port connector by prying along the outer edge",iPhone_7_Plus_Logic_Board_Replacement,183,port,True
How_to_Clean_your_iPhone's_Lightning_Port_0,"# How to Clean your iPhone's Lightning Port
Use this guide to clean your iPhone's (generation 14 and below) charging port, a.k.a. the ""Lightning port.""

If your iPhone charges intermittently—or not at all—your charging port may be dirty, which prevents your charger from sitting correctly. Cleaning your charging port may fix this.

This guide uses tools that you might have around the house, but we also sell a [product|IF145-523|Precision Cleaning Kit|new_window=true] that includes some small brushes and picks to make your cleaning life easier.


###Tools Required:

 - Flashlight

 - Dust Blower

 - Spudger

 - Anti-Static Brush

 - Toothpick

 - Cotton Ball

 - Isopropyl Alcohol (90% or Greater)

 - Precision Cleaning Kit


###Parts Required:

 - None",How_to_Clean_your_iPhone's_Lightning_Port,181,port,False
iPhone_6s_Plus_Screen_Replacement_3,"## Step 2
Pull the blue handle forwards to lock the arms.
Turn the handle clockwise 360 degrees or until the cups start to stretch.
Make sure the suction cups [link|https://guide-images.cdn.ifixit.com/igi/BSluctHhVVqhGtfj.full|new_window=true|remain aligned with each other]. If they begin to slip out of alignment, loosen the suction cups slightly and realign the arms.
Insert an opening pick under the screen when the Anti-Clamp creates a large enough gap.
If the Anti-Clamp doesn't create a sufficient gap, rotate the handle a quarter turn.
***Don't crank more than a quarter turn at a time***, and wait a few seconds between turns. Let the Anti-Clamp and time do the work for you.
***Skip the next three steps.***


## Step 1
If you don't have an [product|IF145-513|Anti-Clamp], follow the next three steps to use a suction handle.
Apply mild heat to the lower edge of the iPhone using an [guide|25705|iOpener] or hair dryer for about a minute.
Heat softens the adhesive securing the display, making it easier to open.",iPhone_6s_Plus_Screen_Replacement,286,screen,False
iPhone_13_Pro_Max_Taptic_Engine_Replacement_6,"## Heat the top edge
Use a hair dryer to heat the top edge of the iPhone for 90 seconds or until the screen is slightly too hot to touch.


## Separate the top adhesive
Slide the opening pick around the top right corner of the iPhone to separate the top adhesive.
Don't insert your pick more than 3 mm, as you may damage the top sensors.
Leave the pick in the top left corner before continuing.


## Heat the left edge
Use a hair dryer to heat the left edge of the iPhone for 90 seconds or until the screen is slightly too hot to touch.


## Screen information
There are delicate cables along the left edge of your iPhone. ***Don't insert your pick here***, as you may damage the cables.


## Separate the left adhesive
Insert a second opening pick in the bottom left corner of the iPhone.
Twist both picks simultaneously until the left edge clips release.
Apply the twisting force gradually.
If you're having trouble separating the adhesive, reheat the left edge.",iPhone_13_Pro_Max_Taptic_Engine_Replacement,217,screen,True
iPhone_3G_Home_Button_Replacement_0,"# iPhone 3G Home Button Replacement
I did not take any of these images. I took these images from various iFixIt Staff guides, as well as google images. Thanks to all of you for reading, hope this helps! Feel free to leave any comments, good or bad, to help me improve the guide for others.


###Tools Required:

 - Phillips #00 Screwdriver

 - Suction Handle

 - Spudger


###Parts Required:

 - None


## Step 1
If your display glass is cracked, keep further breakage contained and prevent bodily harm during your repair by taping the glass.
Lay overlapping strips of clear packing tape over the iPhone's display until the whole face is covered.
This will keep glass shards contained and provide structural integrity when prying and lifting the display.
Wear safety glasses to protect your eyes from any glass shaken free during the repair.


## Step 1
Remove the 2 Phillips #00 screws at the bottom of the iPhone, located on both sides of the dock connector.",iPhone_3G_Home_Button_Replacement,208,screen,True
iPhone_12_mini_Earpiece_Speaker_and_Front_Sensor_Assembly_Replacement_5,"## Heat the bottom edge of the phone
Opening the iPhone's display will compromise its waterproof seals. Have replacement seals ready before you proceed past this step, or take care to avoid liquid exposure if you reassemble your iPhone without replacing the seals.
Heating the bottom edge of the iPhone helps soften the adhesive securing the display, making it easier to open.
Use a [link|https://www.ifixit.com/Guide/How+to+Use+a+Hair+Dryer+to+Soften+Adhesive/157348|new_window=true|hair dryer] or a [link|https://www.ifixit.com/Guide/How+to+Use+a+Heat+Gun+to+Soften+Adhesive/151116|new_window=true|heat gun] to heat the bottom edge of the iPhone for 90 seconds or until the screen is slightly too hot to touch.
Never leave your hair dryer in one spot for an extended period of time.
If you have trouble during the opening procedure, the adhesive most likely cooled down. Apply more heat to further soften the adhesive.",iPhone_12_mini_Earpiece_Speaker_and_Front_Sensor_Assembly_Replacement,249,screen,True
iPhone_12_mini_Screen_Replacement_6,"## Heat the bottom edge of the phone
Opening the iPhone's display will compromise its waterproof seals. Have replacement seals ready before you proceed past this step, or take care to avoid liquid exposure if you reassemble your iPhone without replacing the seals.
Heating the bottom edge of the iPhone helps soften the adhesive securing the display, making it easier to open.
Use a [link|https://www.ifixit.com/Guide/How+to+Use+a+Hair+Dryer+to+Soften+Adhesive/157348|new_window=true|hair dryer] or a [link|https://www.ifixit.com/Guide/How+to+Use+a+Heat+Gun+to+Soften+Adhesive/151116|new_window=true|heat gun] to heat the bottom edge of the iPhone for 90 seconds or until the screen is slightly too hot to touch.
Never leave your hair dryer in one spot for an extended period of time.
If you have trouble during the opening procedure, the adhesive most likely cooled down. Apply more heat to further soften the adhesive.",iPhone_12_mini_Screen_Replacement,249,screen,True
iPhone_6_Power_Button_Replacement_2,"## Step 2
Pull the blue handle forwards to lock the arms.
Turn the handle clockwise 360 degrees or until the cups start to stretch.
Make sure the suction cups [link|https://guide-images.cdn.ifixit.com/igi/BSluctHhVVqhGtfj.full|new_window=true|remain aligned with each other]. If they begin to slip out of alignment, loosen the suction cups slightly and realign the arms.
Insert an opening pick under the screen when the Anti-Clamp creates a large enough gap.
If the Anti-Clamp doesn't create a sufficient gap, rotate the handle a quarter turn.
***Don't crank more than a quarter turn at a time***, and wait a few seconds between turns. Let the Anti-Clamp and time do the work for you.
***Skip the next three steps.***",iPhone_6_Power_Button_Replacement,199,screen,False
iPhone_8_Plus_Screen_Replacement_12,"## Step 5
Use an opening pick to gently separate the adhesive holding the home/Touch ID sensor cable to the back side of the display panel.


## Step 6
Remove the home/Touch ID sensor assembly by lifting it through the front side of the display.
To reinstall, first feed the cable through the hole in the front of the display as shown.
Your replacement part may come with [https://d3nevzfk7ii3be.cloudfront.net/igi/ZxMbl42DwtiKttpO|extra Y000 screws|new_window=true] already installed near the Home Button. Remove the unnecessary screws so that you can reinstall the home button bracket.
Compare your new replacement part to the original part—you may need to transfer remaining components or remove adhesive backings from the new part before installing.

***To reassemble your device, follow the above steps in reverse order.***

Take your e-waste to an [[E-Waste|R2 or e-Stewards certified recycler|new_window=true]].

Repair didn’t go as planned? Check out our [link|https://www.ifixit.com/Answers/Device/iPhone%208%20Plus|Answers community] for troubleshooting help.",iPhone_8_Plus_Screen_Replacement,287,screen,False
iPhone_16_Pro_Max_Logic_Board_Replacement_3,"## Back glass information
As you slice the adhesive securing the back glass in the following steps, don't insert your pick deeper than 3 mm to avoid damaging the following areas:
A delicate cable connecting the back glass to the iPhone, right next to the volume up button. ***Don't insert your pick here to avoid slicing the cable.***
Multiple spring contacts around the perimeter of the iPhone.


## Separate the bottom edge adhesive
Slide the opening pick along the bottom edge to slice the adhesive.
If the adhesive feels difficult to slice, reheat the edge for a minute and try again.
Leave the opening pick in the bottom-left corner to prevent the adhesive from resealing.


## Heat the left edge
Use a hair dryer or heat gun to heat the left edge of the back glass until it's hot to the touch.


## Separate the left adhesive
Insert a second opening pick into the bottom-left corner, close to the existing pick.
Don't insert your pick deeper than 3 mm to avoid damaging the spring contacts.
Slide your pick along the left edge to separate the adhesive and release the metal clips.
You'll hear and feel the metal clips release as you pass them.
Leave this pick inserted in the top-left corner to prevent the adhesive from resealing.",iPhone_16_Pro_Max_Logic_Board_Replacement,277,screen,True
iPhone_16_Plus_Rear_Cameras_Replacement_6,"## Heat the top edge
Apply a [guide|25705|heated iOpener|new_window=true] to the top edge of the back glass, angled to include the volume buttons, for two minutes.
When using a [guide|157348|hair dryer|new_window=true] or [guide|151116|heat gun|new_window=true], heat until it's hot to the touch.


## Separate the top edge adhesive
Don't insert your pick deeper than ***3 mm*** along the top edge to avoid damaging the [link|https://guide-images.cdn.ifixit.com/igi/xZIU2JMJvpJTnlRO.full|spring contacts|new_window=true].
Slide your opening pick across the top edge and around the top right corner to the volume up button to separate the adhesive.
You should hear and feel clicks as the top two clips release.",iPhone_16_Plus_Rear_Cameras_Replacement,214,screen,True
iPhone_6_Plus_Audio_Control_and_Rocker_Switch_Cable_Replacement_2,"## Step 2
Pull the blue handle forwards to lock the arms.
Turn the handle clockwise 360 degrees or until the cups start to stretch.
Make sure the suction cups [link|https://guide-images.cdn.ifixit.com/igi/BSluctHhVVqhGtfj.full|new_window=true|remain aligned with each other]. If they begin to slip out of alignment, loosen the suction cups slightly and realign the arms.
Insert an opening pick or tool under the screen when the Anti-Clamp creates a large enough gap.
If the Anti-Clamp doesn't create a sufficient gap, rotate the handle a quarter turn.
***Don't crank more than a quarter turn at a time, and wait a few seconds between turns.*** Let the Anti-Clamp and time do the work for you.
***Skip the next three steps.***",iPhone_6_Plus_Audio_Control_and_Rocker_Switch_Cable_Replacement,201,screen,False
iPhone_3G_Front_Panel_Replacement_2,"## Step 3
The display assembly is still connected to the iPhone by several cables, so don't try to remove it entirely just yet.
Rotate the display assembly up until it is at an angle of approximately 45 degrees.


## Step 4
Continue to hold the display assembly with one hand, and use your other hand and a spudger to disconnect the black ribbon cable labeled ""1.""
Ribbon cable ""1"" is connected with a plug style connector. The block at the end of the cable is the plug which is simply pushed into a socket on the circuit board. No other locking mechanism is used.


## Step 5
Rotate the display assembly up until it is roughly vertical. This will allow easier access for disconnecting the remaining cables.
Use a spudger to disconnect the black ribbon cable labeled ""2.""",iPhone_3G_Front_Panel_Replacement,173,screen,True
iPhone_SE_2020_Lightning_Connector_Assembly_Replacement_16,"## Step 4
Grasping it by the edges, lift the logic board near the battery connector and remove it.
Be careful not to snag the logic board on any cables.


## Remove the speaker
Remove the two screws securing the speaker to the rear case:
One 1.5 mm Phillips screw
One 2.1 mm Phillips screw


## Step 6
Remove the speaker.


## Remove the Lightning connector assembly
Remove the three screws securing the Lightning connector cable in place:
One 1.3 mm Phillips screw
Two 2.2 mm Phillips screws


## Step 8
Remove the two 1.4 mm Phillips screws securing the Lightning port to the bottom edge of the phone.


## Step 9
Use the point of a spudger to gently pry the logic-board-side microphone free from the adhesive securing it in place.
Don't try to completely remove the microphone; just separate the adhesive as shown.


## Step 10
Use the point of a spudger to gently pry the battery-side microphone free from the adhesive securing it in place.
Don't try to completely remove the microphone; just separate the adhesive as shown.",iPhone_SE_2020_Lightning_Connector_Assembly_Replacement,237,case,True
