chunk_id,text,wiki_id,chunk_length,repair_type,contains_warning
"Installing_MacBook_Pro_13""_Unibody_Early_2011_Dual_Hard_Drive_1","## Step 2
Use your fingers to pry the lower case away from the body of the MacBook near the vent.
Remove the lower case.


## Step 1
Use the edge of a spudger to pry the battery connector upwards from its socket on the logic board.
It is useful to pry upward on both short sides of the connector to ""walk"" it out of its socket. Be careful with the corners of the connectors, they can be easily broken off.


## Step 2
Bend the battery cable slightly away from its socket on the logic board so it does not accidentally connect itself while you work.


## Step 1
Use the flat end of a spudger to pry the AirPort/Bluetooth ribbon cable connector up from its socket on the logic board.


## Step 2
Carefully pull the camera cable out of its socket on the logic board.
Though not recommended by iFixit staff, some users opt to omit this step completely. For information on this, see the step comments.
Pull the cable parallel to the face of the logic board. Pulling it upward may damage the logic board or the cable itself.","Installing_MacBook_Pro_13""_Unibody_Early_2011_Dual_Hard_Drive",229,case,True
"PowerBook_G4_Aluminum_15""_1.67_GHz_LCD_Replacement_3","## Step 6
Insert a spudger just to the right of the hinge opening on the top edge of the display between the front display bezel and the plastic strip attached to the rear bezel.
Pry the rear bezel away from the front bezel along the top right half of the display.
To release the clips in the far left and right corners of the display, it may be necessary to run a spudger parallel to the face of the display along the top edge of the front display bezel and force it into the corners to pop the rear bezel off.


## Step 7
Now that the top edge is released, use a spudger to completely release the clips along the left edge of the display.


## Step 8
Use a spudger to release the clips along the right edge of the display.


## Step 9
Close the display.
The rear bezel is still attached to the display by the antenna cables.
Rotate the top edge of the rear display bezel slightly away from the rest of the display, and then lift the lower edge of the rear bezel away from the clutch cover.


## Step 10
Disconnect both antenna cables from the rear display bezel.
Rear display bezel remains.","PowerBook_G4_Aluminum_15""_1.67_GHz_LCD_Replacement",253,screen,True
"iMac_Intel_21.5""_EMC_2889_Adhesive_Strips_Replacement_0","# iMac Intel 21.5"" EMC 2889 Adhesive Strips Replacement
Removing the display requires cutting through the adhesive around the perimeter of the screen. After the adhesive is cut, it cannot be used to re-seal the display in place, so you'll need to apply a new set of adhesive strips.


###Tools Required:

 - iMac Intel 21.5"" Cardboard Service Wedge

 - Painter's Tape

 - Microfiber Cleaning Cloths

 - iMac Service Wedge

 - Isopropyl Alcohol

 - Spudger

 - Tweezers


###Parts Required:

 - iMac Intel 21.5"" (2012-2019) Adhesive Strips","iMac_Intel_21.5""_EMC_2889_Adhesive_Strips_Replacement",139,screen,False
"iMac_Intel_27""_EMC_2546_CPU_Replacement_2","## Step 3
Use the tool like a pizza cutter—roll it along through the gap, and it will cut the foam adhesive through the center.
Be sure to always push with the handle behind the cutting wheel. If you pull, the wheel might get pulled out of the handle.
Run the tool up along the left side of the display.


## Step 4
Continue wheeling the tool up around the top left corner.


## Step 5
Cut the adhesive along the top left of the display.


## Step 6
Continue along the top of the display.
You may want to run the tool back and forth through what you've already cut a few times, to ensure you get as much of the adhesive separated as possible.


## Step 7
Push the tool around the top right corner of the display.


## Step 8
Wheel the tool down along the right side of the display.


## Step 9
Finish pushing the opening tool to the bottom of the right side of the display.
At this point, you'll want to run the tool back around the entire display, to ensure you cut as much adhesive as possible.","iMac_Intel_27""_EMC_2546_CPU_Replacement",231,screen,False
iMac_G4_17_800_MHz_EMC_1936_LCD_Replacement_2,"## Step 7
The third, and final, cable you will need to unplug is the TMDS connector. This is located under a rectangular strip of black tape that has a gray and black cord coming out of one end.
Peel back the black tape, starting at the end with the cords protruding out.
Under the black tape, you will see the gray and black cords going into a connection that looks like it is wrapped in aluminum foil. Grasp that connection and pull carefully in the downward direction toward the bottom of the display.


## Step 8
Now that you have unplugged all of the cables, you can lay the front panel of the display face down on a soft surface.
Next, you will unscrew the four 5 mm T-10 screws located at the corners of the display.


## Step 9
Once the four screws are removed, the display is ready to be removed and the inverter is accessible.
To reassemble your device, follow these instructions in reverse order.",iMac_G4_17_800_MHz_EMC_1936_LCD_Replacement,208,screen,True
"MacBook_Pro_15""_Touch_Bar_Late_2016_Screen_Replacement_7","## Step 8
Use a T5 Torx driver to remove the four 3.3 mm screws securing the display board.
Before reinstalling these screws:
Make sure the display board flex cable lies on top of the board, not trapped underneath.


## Step 9
Use a P2 Pentalobe driver to remove the sixteen 1.5 mm screws securing the antenna assembly.


## Step 10
Use an opening pick to pry up the antenna assembly and separate it from the MacBook Pro.
Watch out for the delicate ribbon cables in the middle section. Avoid sliding the pick from side to side so as not to damage the cables.


## Step 11
Carefully remove the antenna assembly, while simultaneously feeding the antenna cable bundle out from underneath the heat sink.
During reassembly, gently pinch the cable bundle together and guide it under the heat pipe into the correct position on the board. If needed, use your tools to help guide it through, but don't force it.


## Step 12
Use a T3 Torx driver to remove the four 3.9 mm screws securing the display cable cover springs.


## Step 13
Use a T8 Torx driver to remove two 4.9 mm screws from each hinge (four screws total).
Each hinge has a third screw, which you should leave in place for now.","MacBook_Pro_15""_Touch_Bar_Late_2016_Screen_Replacement",278,screen,True
"MacBook_Pro_13""_Touch_Bar_2017_Screen_Replacement_7","## Step 8
Remove the 2.8 mm T5 Torx screw securing the three antenna coax cables to the main board.


## Step 9
Use an opening pick to lever out the antenna cable assembly in the areas shown.
Don't slide the opening pick from side to side, because there are two display cables that can be damaged.


## Step 10
Carefully remove the antenna assembly, while simultaneously feeding the antenna cable bundle out from underneath the heat pipe.


## Step 11
Remove the antenna cable assembly.
During reassembly, gently pinch the cable bundle together and guide it under the heat pipe into the correct position on the board. If needed, use your tools to help guide it through, but don't force it.


## Unscrew the display cable assembly
Remove the four 3.9 mm T3 Torx screws securing the two display cable cover springs.


## Remove the display cable assembly
Grab the left side of the display cable assembly and pull it towards the bottom end of the MacBook and away from the  cover spring.
Use a pair of [product|IF145-020|tweezers] to pull the cover spring of the display cable out of its recess.
Repeat this step with the right cover spring of the display cable assembly.","MacBook_Pro_13""_Touch_Bar_2017_Screen_Replacement",262,screen,True
"iMac_Intel_27""_EMC_2390_Display_Replacement_0","# iMac Intel 27"" EMC 2390 Display Replacement
A 27"" iMac is a great thing. A 27"" iMac with a broken display is a great broken thing. Don't let a broken LCD get in the way of your iMac being awesome. Use this guide to help you replace the display in the 2010 27"" iMac.


###Tools Required:

 - Heavy-Duty Suction Cups (Pair)

 - TR10 Torx Security Screwdriver


###Parts Required:

 - iMac Intel 27"" (EMC 2390) LCD Assembly","iMac_Intel_27""_EMC_2390_Display_Replacement",119,screen,False
"How_to_Turn_iMac_Intel_27""_EMC_2390_Into_a_Nice_2K_HDMI/VGA_External_Display_1","## Check for Your Display Model
Check on the back of your display the brand and model of it
It will probably be an LG display
Mine was model LM270WQ1 (SD)(C2)
Search for a LCD driver board compatible with your display","How_to_Turn_iMac_Intel_27""_EMC_2390_Into_a_Nice_2K_HDMI/VGA_External_Display",56,screen,False
"iMac_Intel_27""_EMC_2429_Graphics_Card,_CPU,_Hard_Drive,_Ram_Upgrade_1","## Step 1
First Start by unplugging all cables from your iMac and setting up a workstation.
You will need a large workstation to hold the iMac and it's parts.


## Step 2
Stick a [product|IF145-023|heavy-duty suction] cup near each of the two top corners of the glass panel.
To attach the suction cups, first position the suction cup with the movable handle parallel to the face of the glass panel (as indicated in the second picture).
While lightly holding the suction cup against the glass, raise the movable handle until it is parallel with the other handle (as indicated by the third picture).
If your suction cups refuse to stick, try cleaning both the glass panel and the suction cup with a damp soft, lint-free cloth. (Dampen with distilled water, and if needed, an equal ratio of distilled water and white vinegar for best results.)
Do not use the suction cups to carry the display glass because if one of them fails to stick, you could drop the screen and break it.
The original iMac box makes a good place to store the glass panel. Otherwise, a padded horizontal surface, like a towel on a desk, will do nicely.
To reassemble your device, follow these instructions in reverse order.","iMac_Intel_27""_EMC_2429_Graphics_Card,_CPU,_Hard_Drive,_Ram_Upgrade",284,screen,False
"iMac_Intel_27""_EMC_2546_Logic_Board_Replacement_2","## Step 3
Use the tool like a pizza cutter—roll it along through the gap, and it will cut the foam adhesive through the center.
Be sure to always push with the handle behind the cutting wheel. If you pull, the wheel might get pulled out of the handle.
Run the tool up along the left side of the display.


## Step 4
Continue wheeling the tool up around the top left corner.


## Step 5
Cut the adhesive along the top left of the display.


## Step 6
Continue along the top of the display.
You may want to run the tool back and forth through what you've already cut a few times, to ensure you get as much of the adhesive separated as possible.


## Step 7
Push the tool around the top right corner of the display.


## Step 8
Wheel the tool down along the right side of the display.


## Step 9
Finish pushing the opening tool to the bottom of the right side of the display.
At this point, you'll want to run the tool back around the entire display, to ensure you cut as much adhesive as possible.","iMac_Intel_27""_EMC_2546_Logic_Board_Replacement",231,screen,False
MacBook_Unibody_Model_A1342_LCD_Replacement_3,"## Step 2
Peel the piece of tape covering the display data cable connector away from the edge closest to the LCD.


## Step 3
Use the tip of a spudger to flip up the thin steel retaining clip securing the display data cable to its socket on the LCD.
While holding the display data cable by the retaining clip, pull the LCD straight up and away from its socket.
Lift the LCD out of the display assembly and set it aside.
To reassemble your device, follow these instructions in reverse order.",MacBook_Unibody_Model_A1342_LCD_Replacement,107,screen,False
"MacBook_Pro_15""_Touch_Bar_2019_Battery_Replacement_7","## Step 6
Use a T5 Torx driver to remove the 3.7 mm pancake screw securing the battery power connector.


## Step 7
Use a spudger to lift the battery power connector, disconnecting the battery.
Lift the connector high enough to keep it separated from its socket while you work. If it accidentally makes contact, it could damage your MacBook Pro.


## Step 1
Use a T3 Torx driver to remove the two 1.9 mm screws securing the cover bracket for the keyboard and trackpad cable connectors.
Remove the bracket.


## Step 2
Use a spudger to disconnect the trackpad cable by prying its connector straight up from the logic board.


## Step 3
Apply mild heat to the trackpad ribbon cable to soften the adhesive securing it to the battery.
You can use an iOpener, hair dryer, or heat gun, but be careful not to overheat the battery. The cable should be warm, but not too hot to touch.


## Step 4
Carefully peel the trackpad cable up off the battery, and push it out of the way.
Don't crease or tear the cable. If you have trouble, don't force it—apply more heat and try again.","MacBook_Pro_15""_Touch_Bar_2019_Battery_Replacement",265,logic_board,True
"MacBook_Pro_14""_Late_2023_(M3_Pro_and_M3_Max)_Antenna_Bar_Replacement_3","## Disconnect the battery board
Peel back any tape covering the battery board data cable connector on the logic board.


## Step 2
Use a spudger to gently pry up the locking flap on the [guide|25629|ZIF connector|stepid=64969|new_window=true] for the battery board data cable.


## Step 3
Disconnect the battery board data cable by sliding it out from its socket on the logic board.


## Unfasten the trackpad cable bracket
Use a 3IP Torx Plus driver to remove the two 2.1 mm‑long  screws securing the trackpad cable bracket to the logic board.


## Remove the trackpad cable bracket
Use [product|IF145-020|tweezers], or your fingers, to remove the trackpad cable bracket.","MacBook_Pro_14""_Late_2023_(M3_Pro_and_M3_Max)_Antenna_Bar_Replacement",176,logic_board,True
"MacBook_Pro_16""_2023_Antenna_Bar_Replacement_8","## Unfasten the antenna cables
Use your 3IP Torx Plus driver to remove the three 2.1 mm screws securing the antenna cable cover and bracket.
Remove the antenna cable cover.


## Disconnect the antenna bar
Use the point of your spudger to pry up and disconnect the three antenna cables from the logic board.
Pry only on the metal heads of the connectors. Avoid prying on the cables themselves.
To reconnect [link|https://www.ifixit.com/Guide/Recognizing+&+Disconnecting+Cable+Connectors/25629#s64972|new_window=true|antenna cables] like these, hold each one in place over its socket and press down with the flat end of your spudger. The connector will snap into place.","MacBook_Pro_16""_2023_Antenna_Bar_Replacement",176,logic_board,True
iPhone_13_Screen_Replacement_8,"## Screen information
There are delicate cables along the left edge of your iPhone. ***Don't insert your pick here***, as you may damage the cables.


## Separate the left adhesive
Insert a second opening pick in the bottom left corner of the iPhone.
Twist both picks simultaneously until the left edge clips release.
Apply the twisting force gradually.
If you're having trouble separating the adhesive, reheat the left edge.


## Open the iPhone
If you haven't removed your suction handle, remove it now.
Rotate your iPhone so the right edge faces you.
Open the iPhone by swinging the display up from the right side, like the front cover of a book.
Don't try to fully separate the display yet, as several fragile ribbon cables still connect it to the iPhone's logic board.
Lean the display against something to keep it propped up while you're working on the phone.
During reassembly, lay the display in position, align the clips along the top edge, and carefully press the top edge into place before snapping the rest of the display down. If it doesn't click easily into place, check the condition of the clips around the perimeter of the display and make sure they aren't bent.",iPhone_13_Screen_Replacement,260,logic_board,True
"iMac_Intel_21.5""_EMC_2638_Hard_Drive_Replacement_7","## Step 1
Remove the following screws securing the hard drive bracket to the rear enclosure:
Two 21 mm T10 Torx screws from the left-hand hard drive bracket.
One 9 mm T10 Torx screw.
One 27 mm T10 Torx screw.


## Step 2
Remove the left and right hard drive brackets from the iMac.


## Step 1
Lift the hard drive from the edge nearest the logic board and pull it slightly out of its recess.
The hard drive is attached by a single SATA power/data cable—do '''not''' attempt to fully remove it from the iMac yet.


## Step 2
Use a spudger to disconnect the single SATA power and data combo cable by gently prying its large plastic connector away from the hard drive.


## Step 3
Remove the hard drive assembly from the iMac.


## Step 1
Peel the rubber hard drive bumpers up off the top and bottom edges of the hard drive.
To reassemble your device, follow these instructions in reverse order.","iMac_Intel_21.5""_EMC_2638_Hard_Drive_Replacement",219,logic_board,True
"iMac_27""_Late_2009_Intel_Processor_Replacement_(EMC_2374)_1","## Slow performance
Geekbench 3 32-bit test. Geekbench 3 allows you to browse results from others with similar computers, so it was easy to see that something was wrong with my mine.


## Ask for help
Naturally I asked on the iFixit forums and elsewhere about what might be wrong. Though helpful, the forums spun off in  irrelevant directions, mostly talking about hard drive install issues. Geekbench 3 dosen't benchmark hard drives so...


## Open your iMac
There's loads of videos and iFixit repair guides to show you how to get in to your iMac so I'm not going to go over that ground.
Be super careful with that ridiculously flimsy ribbon cable on the top left


## Unscrew the motherboard
To remove the mother board undo the Torx T10 screws shown in the yellow circles. (There's one behind a cable bottom right)
Hopefully I've circled them all. (undo any screw on the mother board that has a white circle printed on the board.)
Oh, you'll also have to yank out the infra-red sensor behind the Apple logo. Just pull up. It's spring loaded in there...","iMac_27""_Late_2009_Intel_Processor_Replacement_(EMC_2374)",259,logic_board,True
"iMac_Intel_27""_2012-2019_Adhesive_Strips_Replacement_9","## Test your repair
''At this point it's a good idea to test your repair, in order to make sure your iMac works properly before you seal it back up. Follow the next three steps to temporarily reconnect the display cables and boot up your iMac prior to pulling the protective film off the adhesive strips.''
If you've already verified that your iMac is working correctly and are ready to seal it up, skip to [https://www.ifixit.com/Guide/Adhesive+staging+doc/136011#s270508|step 22].
Gently insert the display data connector into its socket on the logic board. Be sure to press it straight into the socket, and insert it completely.
Flip the display data connector lock down onto the socket.
Insert the display power connector into its socket on the logic board.


## Step 21
Set the display back on the iMac's rear enclosure.
At this time, plug in your iMac, power it on, and test your repair before sealing up the computer. Be sure to check for full functionality of any hardware you removed or disconnected.
When you are finished, shut the iMac down and '''unplug the power cord''' before you continue.","iMac_Intel_27""_2012-2019_Adhesive_Strips_Replacement",268,logic_board,True
"MacBook_Air_15""_2024_Logic_Board_Replacement_9","## Unfasten the antenna bar
Use a 4IP Torx Plus screwdriver to remove the two 5.5 mm‑long screws securing the antenna bar.


## Remove the antenna bar
Remove the antenna bar.


## Remove the foam pad
A foam pad hides two screws securing the display and camera cables cover. It's secured with light adhesive.
Use tweezers or your fingers to remove the foam pad from the cover.
During reassembly, use the leftover adhesive to secure the pad. If the pad doesn't stick, use [product|IF317-072-6|double-sided tape|new_window=true] to secure it.


## Unfasten the cables cover
Use a 3IP Torx Plus screwdriver to remove the four 1.5 mm‑long screws securing the display and camera cables cover.
Remove the cover.


## Disconnect the display and camera
Use a spudger to pry up and disconnect the display and camera cable press connectors.


## Reassembly information
During reassembly, use the flat end of a spudger to gently push the display and camera cables under the logic board.","MacBook_Air_15""_2024_Logic_Board_Replacement",254,logic_board,True
"MacBook_Air_15""_2023_Screen_Replacement_9","## Unfasten the antenna bar
Use a 4IP Torx Plus screwdriver to remove the two 5.5 mm‑long screws securing the antenna bar.


## Remove the antenna bar
Remove the antenna bar.


## Remove the foam pad
A foam pad hides two screws securing the display and camera cables cover. It's secured with light adhesive.
Use tweezers or your fingers to remove the foam pad from the cover.
During reassembly, use the leftover adhesive to secure the pad. If the pad doesn't stick, use [product|IF317-072-6|double-sided tape|new_window=true] to secure it.


## Unfasten the cables cover
Use a 3IP Torx Plus screwdriver to remove the four 1.5 mm‑long screws securing the display and camera cables cover.
Remove the cover.


## Disconnect the display and camera
Use a spudger to pry up and disconnect the display and camera cable press connectors.


## Reassembly information
During reassembly, use the flat end of a spudger to gently push the display and camera cables under the logic board.","MacBook_Air_15""_2023_Screen_Replacement",254,logic_board,True
"MacBook_Air_13""_Early_2014_Heat_Sink_Replacement_5","## Step 3
Remove the four 2.5 mm T5 Torx screws securing the heat sink to the logic board.


## Step 4
If the heat sink seems to be stuck to the logic board after removing all five screws, use a spudger to carefully separate the heat sink from the faces of the CPU and GPU.
Remove the heat sink from the logic board.
When reinstalling the heat sink, be sure to apply a new layer of [product|IF179-010|thermal paste]. If you have never applied thermal paste before, we have a [guide|744|guide] that makes it easy.


## Step 5
When reassembling your device, attach the gasket to the heat sink as shown.
The tail of the gasket should fit into the notch in the heat sink, it should not end up underneath the heat sink tab that will rest on the logic board.
Be sure the small post molded into the rubber gasket mates with the hole cut into the upper right corner of the logic board.
To reassemble your device, follow these instructions in reverse order.","MacBook_Air_13""_Early_2014_Heat_Sink_Replacement",235,logic_board,True
"MacBook_Pro_13""_Function_Keys_2017_Antenna_Cable_Assembly_Replacement_4","## Step 3
Use the tip of a spudger to flip up the small black locking tab securing the cable in its connector.


## Step 4
Disconnect the battery board data cable by sliding it out from its socket.
Slide parallel to the logic board, in the direction of the cable.


## Step 5
Fold the battery board data cable back and out of the way.
If you're replacing your battery, you may need to completely remove and transfer this cable to your new battery. Disconnect both ends and carefully remove the cable. During installation, be careful not to install it upside-down or backwards—note the orientation in the photos.


## Step 6
Use a T5 Torx driver to remove the 3.7 mm pancake screw securing the battery power connector.


## Step 7
Use a spudger to gently lift the battery power connector, disconnecting the battery.
Lift the connector high enough so that it stays separated from its socket. If it accidentally makes contact during the course of your repair, it could damage your MacBook Pro.


## Remove the hinge covers
Remove the four 1.9 mm T3 Torx screws securing the plastic covers on top of the display hinges.
Remove both plastic hinge covers.","MacBook_Pro_13""_Function_Keys_2017_Antenna_Cable_Assembly_Replacement",258,logic_board,True
Mac_Pro_First_Generation_Power_Supply_Unit_Replacement_2,"## Disconnecting the Power Supply
Locate the four marked cables
Push down on the clip that is above each cable connector while firmly grasping each connector and pull each one back to remove each clip.
To reassemble your device, follow these instructions in reverse order.",Mac_Pro_First_Generation_Power_Supply_Unit_Replacement,55,battery,True
"MacBook_Pro_15""_Touch_Bar_2019_Battery_Replacement_1","- Suction Handle

 - iFixit Opening Picks (Set of 6)

 - Spudger

 - Tweezers

 - T5 Torx Screwdriver

 - T3 Torx Screwdriver

 - iOpener

 - TR8 Torx Security Screwdriver

 - iFixit Adhesive Remover

 - Safety Glasses

 - Nitrile Gloves 100 Box

 - P2 Pentalobe Screwdriver iPhone


###Parts Required:

 - MacBook Pro 15"" Retina (Mid 2018-2019) Battery","MacBook_Pro_15""_Touch_Bar_2019_Battery_Replacement",103,battery,True
How_to_Repair_an_Apple_AC_Adapter_Broken_Cable_0,"# How to Repair an Apple AC Adapter Broken Cable
Sometimes the cable starts peeling just at that place where it meets the AC Adapter. I've met too many people that throw away their chargers because of this. It takes time and patience but repair is possible!


###Tools Required:

 - Wire Stripper

 - Zip Ties

 - Zip Ties

 - Utility Knife

 - Soldering Iron

 - Lead-Free Solder

 - Electrical Tape in 6 Assorted Colors

 - 6-in-1 Screwdriver

 - Crazy Glue

 - Glue Gun

 - Insulated Cover Tube


###Parts Required:

 - None


## Step 1
Nasty cut.


## Step 2
Unplug your AC power cord.


## Step 3
Look at the line that goes though the charger. This is all glued with some super adhesive that prevents you from just taking it apart.
You will have to cut through that plastic, go all the way around following that small space with your knife.
This will take a while, you have to cut the plastic from all the 4 sides. You will notice when you have cut through most of it.
Be careful with the side shown in the last picture. There are a couple of components that might be cut in the process.",How_to_Repair_an_Apple_AC_Adapter_Broken_Cable,250,battery,True
